category,semantic_score
PMO,0.3431424
PMO,0.3768526
PMO,0.36993775
Public Relations,0.3099993
Public Relations,0.39375004
Public Relations,0.2994556
Python Developer,0.31807196
Python Developer,0.24121466
Python Developer,0.30385295
React Developer,0.26486844
React Developer,0.3066487
React Developer,0.44851604
SAP Developer,0.3540085
SAP Developer,0.3887125
SAP Developer,0.3597009
SQL Developer,0.29882628
SQL Developer,0.36405176
SQL Developer,0.34872338
Sales,0.42149073
Sales,0.34214258
Sales,0.37819666
Testing,0.32952437
Testing,0.31069902
Testing,0.31193647
Web Designing,0.33499306
Web Designing,0.30104694
Web Designing,0.25984377
Accountant,0.3604101
Accountant,0.47074595
Accountant,0.37752548
Advocate,0.37223548
Advocate,0.46198437
Advocate,0.43568358
Agriculture,0.30597523
Agriculture,0.45493668
Agriculture,0.2981956
Apparel,0.38528648
Apparel,0.39524904
Apparel,0.41687125
Architecture,0.36194944
Architecture,0.30938706
Architecture,0.4252539
Arts,0.2933826
Arts,0.38732722
Arts,0.27042982
Automobile,0.35993695
Automobile,0.32733646
Automobile,0.4613214
Aviation,0.35840848
Aviation,0.3055195
Aviation,0.379768
BPO,0.3658365
BPO,0.38464677
BPO,0.4586242
Banking,0.40735918
Banking,0.33884636
Banking,0.4230976
Blockchain,0.25302687
Blockchain,0.4202472
Blockchain,0.2482278
Building and Construction,0.44003493
Building and Construction,0.4148561
Building and Construction,0.38564524
Business Analyst,0.38101548
Business Analyst,0.38003376
Business Analyst,0.36637607
Civil Engineer,0.42300916
Civil Engineer,0.25944483
Civil Engineer,0.2625175
Consultant,0.25548178
Consultant,0.39139676
Consultant,0.44503644
Data Science,0.38577378
Data Science,0.38120636
Data Science,0.4011295
Database,0.38809758
Database,0.37411958
Database,0.32858172
Designing,0.25408632
Designing,0.27960536
Designing,0.32835644
DevOps,0.2840147
DevOps,0.37138483
DevOps,0.41352162
Digital Media,0.36760348
Digital Media,0.42065424
Digital Media,0.43226862
DotNet Developer,0.3481232
DotNet Developer,0.35755756
DotNet Developer,0.38201493
ETL Developer,0.32322174
ETL Developer,0.33663473
ETL Developer,0.3953906
Education,0.34223795
Education,0.27417803
Education,0.285076
Electrical Engineering,0.4052422
Electrical Engineering,0.31852213
Electrical Engineering,0.4370191
Finance,0.42939204
Finance,0.35884842
Finance,0.45003697
Food and Beverages,0.40145636
Food and Beverages,0.389567
Food and Beverages,0.37788442
Health and Fitness,0.34504217
Health and Fitness,0.3817379
Health and Fitness,0.31738114
Human Resources,0.46257988
Human Resources,0.3227746
Human Resources,0.43395424
Information Technology,0.4205655
Information Technology,0.39168265
Information Technology,0.45194206
Java Developer,0.34147742
Java Developer,0.29698265
Java Developer,0.32285875
Management,0.42116556
Management,0.37490422
Management,0.28111914
Mechanical Engineer,0.31582686
Mechanical Engineer,0.37922478
Mechanical Engineer,0.4048473
Network Security Engineer,0.28577462
Network Security Engineer,0.42505378
Network Security Engineer,0.3999743
Operations Manager,0.44333097
Operations Manager,0.4270052
Operations Manager,0.4779851
PMO,0.36001015
PMO,0.35979107
PMO,0.40023538
Public Relations,0.40923023
Public Relations,0.452997
Public Relations,0.356671
Python Developer,0.34059876
Python Developer,0.25830764
Python Developer,0.31827432
React Developer,0.34339935
React Developer,0.33833417
React Developer,0.46728876
SAP Developer,0.36709437
SAP Developer,0.43276694
SAP Developer,0.359847
SQL Developer,0.29996377
SQL Developer,0.39625332
SQL Developer,0.3848538
Sales,0.4415927
Sales,0.3916399
Sales,0.38413006
Testing,0.33731222
Testing,0.32265997
Testing,0.3013751
Web Designing,0.36611494
Web Designing,0.3543582
Web Designing,0.30716786
Accountant,0.37266335
Accountant,0.4486848
Accountant,0.3909385
Advocate,0.35415348
Advocate,0.4263608
Advocate,0.40305305
Agriculture,0.26710254
Agriculture,0.38616928
Agriculture,0.24776627
Apparel,0.37916583
Apparel,0.3549201
Apparel,0.38812327
Architecture,0.3439872
Architecture,0.26128915
Architecture,0.35531697
Arts,0.24110653
Arts,0.31663767
Arts,0.2365909
Automobile,0.39162523
Automobile,0.33631375
Automobile,0.4161906
Aviation,0.31808966
Aviation,0.2827807
Aviation,0.3220603
BPO,0.3893168
BPO,0.31370038
BPO,0.42627326
Banking,0.4400591
Banking,0.37856716
Banking,0.3930776
Blockchain,0.2610015
Blockchain,0.41650146
Blockchain,0.2591693
Building and Construction,0.41980743
Building and Construction,0.3595035
Building and Construction,0.31011388
Business Analyst,0.40579483
Business Analyst,0.39178988
Business Analyst,0.31096154
Civil Engineer,0.41278717
Civil Engineer,0.23503706
Civil Engineer,0.22949094
Consultant,0.2382792
Consultant,0.3568002
Consultant,0.4067387
Data Science,0.30973157
Data Science,0.36652765
Data Science,0.35944745
Database,0.3471944
Database,0.33532274
Database,0.31694293
Designing,0.22390728
Designing,0.29550278
Designing,0.33269948
DevOps,0.22002105
DevOps,0.3465911
DevOps,0.37443376
Digital Media,0.25158024
Digital Media,0.32851204
Digital Media,0.40663034
DotNet Developer,0.30761975
DotNet Developer,0.34722522
DotNet Developer,0.28841028
ETL Developer,0.31055427
ETL Developer,0.29359925
ETL Developer,0.34729314
Education,0.3070763
Education,0.26208022
Education,0.26911834
Electrical Engineering,0.34352788
Electrical Engineering,0.28994182
Electrical Engineering,0.3842756
Finance,0.4160124
Finance,0.342767
Finance,0.38107315
Food and Beverages,0.33253264
Food and Beverages,0.35007012
Food and Beverages,0.36893216
Health and Fitness,0.3361388
Health and Fitness,0.35275537
Health and Fitness,0.30095506
Human Resources,0.4189371
Human Resources,0.3097292
Human Resources,0.40325958
Information Technology,0.36443081
Information Technology,0.3739459
Information Technology,0.42152673
Java Developer,0.2906326
Java Developer,0.25942022
Java Developer,0.2893942
Management,0.41206387
Management,0.30093345
Management,0.3083044
Mechanical Engineer,0.30844304
Mechanical Engineer,0.4004564
Mechanical Engineer,0.37271613
Network Security Engineer,0.2603756
Network Security Engineer,0.4013278
Network Security Engineer,0.36386964
Operations Manager,0.42222968
Operations Manager,0.39753696
Operations Manager,0.45361394
PMO,0.32817662
PMO,0.3150173
PMO,0.36705232
Public Relations,0.28259227
Public Relations,0.4386377
Public Relations,0.25597897
Python Developer,0.33343896
Python Developer,0.226146
Python Developer,0.28530276
React Developer,0.27378872
React Developer,0.3003908
React Developer,0.42486873
SAP Developer,0.31618798
SAP Developer,0.40060192
SAP Developer,0.40205032
SQL Developer,0.28273973
SQL Developer,0.3797812
SQL Developer,0.36081505
Sales,0.44550288
Sales,0.356963
Sales,0.35989892
Testing,0.32111168
Testing,0.3031173
Testing,0.29363874
Web Designing,0.2747198
Web Designing,0.3249844
Web Designing,0.26441067
Accountant,0.4299396
Accountant,0.4510686
Accountant,0.4326454
Advocate,0.47429967
Advocate,0.5363731
Advocate,0.43544582
Agriculture,0.33976904
Agriculture,0.3335801
Agriculture,0.27784547
Apparel,0.42246866
Apparel,0.3798299
Apparel,0.36368993
Architecture,0.44052503
Architecture,0.2955583
Architecture,0.3793284
Arts,0.26118132
Arts,0.29976475
Arts,0.25465325
Automobile,0.43525943
Automobile,0.30691957
Automobile,0.3790668
Aviation,0.30894244
Aviation,0.32266068
Aviation,0.46220684
BPO,0.33498192
BPO,0.34136352
BPO,0.4308715
Banking,0.5107737
Banking,0.32808396
Banking,0.43801188
Blockchain,0.36581114
Blockchain,0.34055147
Blockchain,0.24990188
Building and Construction,0.4007667
Building and Construction,0.3208953
Building and Construction,0.35450292
Business Analyst,0.4200596
Business Analyst,0.4083263
Business Analyst,0.3364264
Civil Engineer,0.437434
Civil Engineer,0.2517499
Civil Engineer,0.27044407
Consultant,0.26558793
Consultant,0.41344163
Consultant,0.47204065
Data Science,0.30069524
Data Science,0.34262434
Data Science,0.42061374
Database,0.41503534
Database,0.40745237
Database,0.35341635
Designing,0.23741098
Designing,0.273469
Designing,0.3607682
DevOps,0.28099564
DevOps,0.36854842
DevOps,0.35339096
Digital Media,0.31721362
Digital Media,0.35424855
Digital Media,0.36725083
DotNet Developer,0.36945006
DotNet Developer,0.45665312
DotNet Developer,0.36958054
ETL Developer,0.39475366
ETL Developer,0.35899273
ETL Developer,0.40503907
Education,0.26104912
Education,0.27404383
Education,0.2479104
Electrical Engineering,0.3535168
Electrical Engineering,0.2984611
Electrical Engineering,0.36287618
Finance,0.41556415
Finance,0.41456056
Finance,0.31047085
Food and Beverages,0.38419172
Food and Beverages,0.32102743
Food and Beverages,0.3145173
Health and Fitness,0.33647045
Health and Fitness,0.4370626
Health and Fitness,0.2920945
Human Resources,0.47324565
Human Resources,0.38914976
Human Resources,0.49949065
Information Technology,0.41606307
Information Technology,0.41724828
Information Technology,0.41179314
Java Developer,0.3509151
Java Developer,0.35830072
Java Developer,0.3402318
Management,0.38889727
Management,0.4120151
Management,0.33822894
Mechanical Engineer,0.27603778
Mechanical Engineer,0.35015264
Mechanical Engineer,0.35987195
Network Security Engineer,0.34161007
Network Security Engineer,0.40954897
Network Security Engineer,0.41914257
Operations Manager,0.43074265
Operations Manager,0.42698988
Operations Manager,0.4257053
PMO,0.42466465
PMO,0.39762893
PMO,0.39324045
Public Relations,0.2786967
Public Relations,0.3931481
Public Relations,0.2901303
Python Developer,0.3982742
Python Developer,0.2722831
Python Developer,0.3227236
React Developer,0.3150185
React Developer,0.35949302
React Developer,0.41062617
SAP Developer,0.41917244
SAP Developer,0.43353653
SAP Developer,0.40176034
SQL Developer,0.37026384
SQL Developer,0.44346866
SQL Developer,0.38146076
Sales,0.52436304
Sales,0.3736075
Sales,0.43689218
Testing,0.41696438
Testing,0.42187038
Testing,0.41464344
Web Designing,0.34442842
Web Designing,0.37115893
Web Designing,0.30812404
Accountant,0.33394197
Accountant,0.5516673
Accountant,0.40246308
Advocate,0.34143236
Advocate,0.46406367
Advocate,0.5059338
Agriculture,0.24470206
Agriculture,0.5227635
Agriculture,0.31587806
Apparel,0.5662444
Apparel,0.4553275
Apparel,0.52736604
Architecture,0.41591796
Architecture,0.28484234
Architecture,0.3289243
Arts,0.28509906
Arts,0.25461087
Arts,0.2514242
Automobile,0.45048013
Automobile,0.40438583
Automobile,0.4995021
Aviation,0.32940575
Aviation,0.3168669
Aviation,0.34521285
BPO,0.57262343
BPO,0.36725894
BPO,0.49741277
Banking,0.5123638
Banking,0.38965967
Banking,0.41771302
Blockchain,0.24006279
Blockchain,0.56296515
Blockchain,0.25641742
Building and Construction,0.61630183
Building and Construction,0.39954746
Building and Construction,0.37510285
Business Analyst,0.3763338
Business Analyst,0.4686656
Business Analyst,0.44190553
Civil Engineer,0.4190128
Civil Engineer,0.1791415
Civil Engineer,0.16980584
Consultant,0.29746303
Consultant,0.38960496
Consultant,0.50798035
Data Science,0.32212433
Data Science,0.48475027
Data Science,0.55776554
Database,0.37592438
Database,0.374465
Database,0.37955114
Designing,0.27648163
Designing,0.29305243
Designing,0.38878918
DevOps,0.29404745
DevOps,0.40507522
DevOps,0.33979002
Digital Media,0.26806784
Digital Media,0.5200407
Digital Media,0.63166887
DotNet Developer,0.39964497
DotNet Developer,0.49684903
DotNet Developer,0.34507897
ETL Developer,0.3698193
ETL Developer,0.3803916
ETL Developer,0.41268086
Education,0.32783726
Education,0.22039075
Education,0.25334612
Electrical Engineering,0.36890376
Electrical Engineering,0.28492084
Electrical Engineering,0.4082961
Finance,0.5126895
Finance,0.35264245
Finance,0.4058483
Food and Beverages,0.3974018
Food and Beverages,0.450901
Food and Beverages,0.43980965
Health and Fitness,0.35695425
Health and Fitness,0.38224426
Health and Fitness,0.28099856
Human Resources,0.38778123
Human Resources,0.25674063
Human Resources,0.46689
Information Technology,0.34811214
Information Technology,0.44289374
Information Technology,0.60312957
Java Developer,0.30743727
Java Developer,0.30738026
Java Developer,0.36001953
Management,0.6103194
Management,0.3513508
Management,0.36287758
Mechanical Engineer,0.32832357
Mechanical Engineer,0.5452912
Mechanical Engineer,0.5659293
Network Security Engineer,0.24328111
Network Security Engineer,0.4415852
Network Security Engineer,0.3832177
Operations Manager,0.5725104
Operations Manager,0.5044747
Operations Manager,0.5654234
PMO,0.32595584
PMO,0.3286443
